iter	Passed	Remaining
0	0	899
1	1	808
2	2	746
3	2	719
4	3	773
5	4	792
6	5	761
7	5	741
8	6	729
9	7	711
10	7	700
11	8	691
12	8	682
13	9	678
14	10	672
15	11	691
16	12	694
17	12	688
18	13	681
19	13	674
20	14	670
21	14	665
22	15	661
23	16	657
24	16	653
25	17	649
26	18	656
27	19	675
28	20	673
29	20	671
30	21	669
31	22	667
32	22	664
33	23	662
34	23	659
35	24	656
36	25	652
37	25	654
38	26	658
39	27	656
40	27	654
41	28	650
42	29	647
43	29	651
44	30	650
45	31	649
46	31	648
47	32	645
48	33	659
49	34	659
50	35	657
51	35	655
52	36	653
53	37	650
54	37	648
55	38	646
56	38	644
57	39	642
58	40	640
59	41	643
60	42	647
61	42	645
62	43	643
63	43	642
64	44	641
65	45	639
66	45	637
67	46	635
68	46	633
69	49	659
70	50	660
71	51	658
72	51	656
73	52	654
74	52	652
75	53	650
76	54	648
77	54	646
78	55	644
79	56	645
80	57	648
81	57	646
82	58	641
83	58	640
84	59	638
85	59	636
86	60	635
87	61	633
88	61	632
89	62	632
90	63	631
91	64	633
92	64	633
93	65	632
94	66	632
95	67	631
96	67	629
97	68	627
98	68	626
99	69	624
100	70	623
101	70	621
102	72	631
103	73	630
104	73	628
105	74	626
106	74	623
107	75	621
108	75	619
109	76	617
110	76	615
111	77	613
112	77	611
113	78	611
114	79	610
115	79	609
116	80	606
117	81	606
118	81	604
119	82	602
120	83	603
121	83	601
122	84	599
123	84	597
124	85	596
125	85	596
126	86	596
127	87	594
128	87	593
129	88	591
130	88	589
131	89	588
132	90	586
133	90	585
134	91	583
135	91	581
136	92	580
137	92	578
138	93	578
139	94	578
140	95	582
141	96	581
142	96	580
143	97	579
144	98	578
145	98	577
146	99	576
147	99	575
148	100	574
149	101	576
150	102	576
151	103	575
152	103	574
153	104	572
154	104	571
155	105	570
156	105	568
157	106	567
158	107	566
159	107	564
160	107	562
161	110	570
162	110	568
163	111	568
164	112	567
165	112	567
166	113	567
167	114	565
168	114	564
169	115	563
170	116	565
171	117	564
172	118	564
173	118	564
174	119	564
175	120	565
176	121	564
177	121	563
178	122	561
179	123	560
180	123	560
181	124	560
182	125	559
183	125	558
184	126	556
185	126	555
186	127	554
187	127	552
188	128	551
189	129	550
190	129	548
191	130	547
192	130	547
193	131	546
194	132	546
195	132	544
196	133	543
197	133	542
198	134	541
199	135	540
200	135	539
201	136	538
202	136	536
203	137	535
204	137	534
205	138	535
206	139	535
207	140	533
208	140	532
209	141	531
210	141	530
211	142	529
212	142	528
213	143	526
214	143	525
215	144	524
216	144	523
217	145	521
218	146	521
219	146	521
220	147	519
221	148	518
222	148	517
223	149	516
224	149	515
225	150	513
226	150	512
227	151	511
228	151	510
229	152	510
230	152	509
231	153	509
232	154	508
233	155	507
234	155	506
235	156	505
236	156	504
237	157	503
238	157	502
239	158	501
240	158	500
241	159	499
242	159	498
243	160	497
244	161	497
245	162	496
246	162	495
247	163	494
248	163	493
249	164	492
250	164	491
251	165	490
252	165	489
253	166	487
254	166	487
255	167	486
256	167	485
257	168	485
258	169	485
259	170	484
260	170	483
261	171	482
262	171	481
263	172	480
264	172	478
265	173	477
266	173	476
267	174	475
268	174	474
269	175	473
270	176	475
271	177	474
272	177	473
273	178	472
274	178	471
275	179	470
276	180	469
277	180	468
278	181	467
279	181	466
280	182	465
281	182	464
282	183	464
283	183	463
284	184	463
285	185	462
286	185	461
287	186	460
288	186	459
289	187	458
290	187	457
291	188	456
292	188	455
293	189	454
294	190	454
295	191	454
296	191	454
297	192	453
298	193	452
299	193	451
300	194	451
301	194	450
302	195	449
303	195	448
304	196	447
305	196	446
306	197	445
307	197	444
308	198	444
309	199	443
310	199	442
311	200	441
312	200	440
313	201	439
314	201	438
315	202	437
316	202	437
317	203	436
318	203	435
319	204	434
320	205	433
321	205	433
322	206	432
323	207	432
324	207	431
325	208	430
326	208	429
327	209	428
328	209	428
329	210	427
330	210	426
331	211	425
332	212	424
333	212	423
334	213	423
335	213	422
336	214	422
337	215	421
338	215	420
339	216	419
340	216	418
341	217	417
342	217	417
343	218	416
344	219	415
345	219	414
346	220	414
347	220	413
348	221	412
349	222	412
350	222	411
351	223	410
352	223	409
353	224	409
354	224	408
355	225	407
356	225	406
357	226	405
358	226	404
359	227	404
360	227	403
361	228	402
362	229	402
363	229	401
364	230	400
365	230	400
366	231	399
367	231	398
368	232	397
369	233	397
370	233	396
371	234	395
372	234	394
373	235	393
374	235	393
375	236	392
376	237	392
377	237	391
378	238	390
379	238	389
380	239	388
381	239	388
382	240	387
383	240	386
384	241	385
385	242	384
386	242	384
387	243	383
388	243	382
389	244	382
390	244	381
391	245	380
392	246	379
393	246	379
394	247	378
395	247	378
396	248	377
397	248	376
398	249	375
399	250	375
400	250	374
401	251	373
402	252	373
403	252	372
404	253	372
405	253	371
406	254	370
